epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,6701,1.77786,2.15449,1.28746,0.00369,0.23062,0.54688,0.31404,0.32136,0.172,0.51418,0.25801,0.25398,0.11945,1.86185,2.5291,1.68782,0.00614,0,0.000214497,0.000214497,0.000214497
62,6805.92,1.79732,2.17396,1.30048,0.00358,0.22609,0.52004,0.33654,0.33214,0.18416,0.48336,0.30225,0.26582,0.12944,1.87184,2.57946,1.63813,0.00642,0,0.000204189,0.000204189,0.000204189
63,6913.65,1.80159,2.21113,1.28284,0.00345,0.23868,0.57794,0.3212,0.33264,0.18013,0.51283,0.25801,0.26216,0.12456,1.85076,2.51872,1.70141,0.00638,0,0.000193881,0.000193881,0.000193881
64,7018.92,1.74948,2.14305,1.25614,0.00349,0.23896,0.58695,0.30263,0.31779,0.16815,0.52987,0.25974,0.24642,0.12102,1.8553,2.51395,1.68546,0.00645,0,0.000183572,0.000183572,0.000183572
65,7124.24,1.77975,2.15236,1.28022,0.00346,0.23577,0.53012,0.32316,0.32485,0.17033,0.49827,0.26999,0.256,0.12362,1.87696,2.54167,1.69116,0.00645,0,0.000173264,0.000173264,0.000173264
66,7231.13,1.75015,2.12957,1.27126,0.00343,0.22866,0.52025,0.30471,0.30177,0.15905,0.46179,0.26132,0.24269,0.12132,1.88513,2.46842,1.69371,0.00645,0,0.000162956,0.000162956,0.000162956
67,7341.45,1.73758,2.1396,1.25472,0.00336,0.23101,0.53291,0.31352,0.31391,0.16567,0.48938,0.26898,0.24724,0.11775,1.89091,2.58482,1.65712,0.00669,0,0.000152647,0.000152647,0.000152647
68,7453.91,1.76448,2.16075,1.23918,0.00328,0.23574,0.52063,0.31294,0.3272,0.173,0.48798,0.26499,0.26248,0.12079,1.86397,2.58984,1.66477,0.0064,0,0.000142339,0.000142339,0.000142339
69,7566.55,1.76851,2.18325,1.24319,0.00333,0.2332,0.53898,0.32084,0.33073,0.17429,0.54297,0.25682,0.25951,0.12205,1.85071,2.57239,1.66415,0.00633,0,0.000132031,0.000132031,0.000132031
70,7680.8,1.75041,2.15672,1.24578,0.00332,0.23316,0.5279,0.33776,0.31997,0.17043,0.50281,0.27039,0.25374,0.11904,1.85813,2.49417,1.6602,0.00615,0,0.000121722,0.000121722,0.000121722
