epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,11599.2,1.69414,2.07674,1.20044,0.00351,0.21991,0.61956,0.3413,0.37752,0.20679,0.51315,0.27096,0.27286,0.13567,1.76446,2.19381,1.43873,0.00509,0,0.000307273,0.000307273,0.000307273
53,11812.1,1.71143,2.04808,1.20506,0.00339,0.22702,0.47656,0.37014,0.39189,0.21821,0.37865,0.29934,0.28034,0.13663,1.74849,2.1387,1.46621,0.00501,0,0.000296964,0.000296964,0.000296964
54,12024.8,1.67393,2.04125,1.1805,0.00343,0.22581,0.69136,0.38438,0.42713,0.23449,0.56701,0.30167,0.3031,0.15082,1.73346,2.14911,1.4576,0.00514,0,0.000286656,0.000286656,0.000286656
55,12241.7,1.65642,2.01412,1.15418,0.00339,0.21394,0.62408,0.36095,0.37929,0.20858,0.56134,0.29949,0.29098,0.14153,1.73305,2.17803,1.48724,0.00497,0,0.000276348,0.000276348,0.000276348
56,12458.2,1.68329,2.0206,1.17492,0.00335,0.21071,0.72349,0.30942,0.40066,0.21157,0.48236,0.31815,0.28389,0.13713,1.74591,2.13334,1.47096,0.00522,0,0.000266039,0.000266039,0.000266039
57,12680.3,1.66994,2.05753,1.13712,0.00349,0.20799,0.57502,0.40404,0.40285,0.21121,0.52422,0.26677,0.26894,0.12897,1.77778,2.13223,1.46932,0.00516,0,0.000255731,0.000255731,0.000255731
58,12902,1.65361,1.98169,1.13736,0.00344,0.20504,0.64076,0.35249,0.40203,0.21772,0.52536,0.29706,0.29106,0.13789,1.74168,2.09841,1.44561,0.00512,0,0.000245423,0.000245423,0.000245423
59,13123.8,1.60458,1.98168,1.12531,0.00326,0.2056,0.56248,0.37908,0.39174,0.20863,0.5119,0.29409,0.28293,0.13577,1.74031,2.21633,1.46316,0.00485,0,0.000235114,0.000235114,0.000235114
60,13345.7,1.64185,1.99052,1.1141,0.00337,0.20397,0.62754,0.36729,0.39951,0.21019,0.53976,0.29487,0.28625,0.13583,1.76387,2.19266,1.43209,0.00494,0,0.000224806,0.000224806,0.000224806
61,13565.4,1.64842,2.02884,1.10756,0.00331,0.21013,0.62455,0.37879,0.40185,0.21885,0.5442,0.30994,0.29471,0.14225,1.70738,2.12041,1.35814,0.00464,0,0.000214497,0.000214497,0.000214497
62,13782.5,1.62829,1.96101,1.11781,0.00345,0.20359,0.66243,0.37483,0.40741,0.2165,0.55172,0.30707,0.29755,0.1412,1.73453,2.09502,1.35553,0.00488,0,0.000204189,0.000204189,0.000204189
